State,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00
AK,259.00,294.20,311.60,306.60,314.80,314.80,370.80,405.10,421.00,521.10,590.40,628.80,653.30,589.80,584.00,610.60,628.40,718.60,792.40,736.40,720.40,658.30,901.00,887.40,930.50,881.10,916.00,914.30,950.10,1041.90,1043.30,1045.90,1054.60,1025.30,1017.30,1149.20,1166.60,1144.10,1154.40,1152.00,1170.90,1146.30,1125.90,1114.80,1160.50,1181.60,1093.60,1050.80,935.30,902.60,882.30,875.30,849.50,796.40,795.10,816.50,785.00,796.50,805.40,811.40,858.20,936.50,987.40
AL,257.30,243.30,256.80,263.80,279.60,293.70,304.70,318.40,350.60,377.50,391.00,382.80,404.20,413.20,411.80,398.40,402.60,419.20,414.90,414.00,409.60,398.20,369.70,354.70,378.00,371.40,365.40,384.00,401.60,406.70,394.90,394.80,407.30,414.00,427.80,443.90,446.80,435.80,441.90,452.00,463.80,416.20,428.60,421.20,445.40,441.80,443.10,442.40,418.90,367.80,398.30,392.20,386.90,389.60,398.30,387.40,389.50,382.80,391.20,383.90,356.30,381.10,374.90
AR,233.20,234.30,241.20,253.20,271.90,272.30,291.30,306.10,326.20,347.10,358.10,346.00,359.60,389.10,369.80,353.60,377.20,392.80,385.00,373.80,364.60,349.50,335.10,334.20,333.70,330.30,316.90,306.60,342.30,367.80,352.10,343.30,350.80,371.70,381.30,395.50,398.80,399.70,404.20,408.50,419.90,400.80,404.70,397.70,388.90,393.70,390.90,389.20,376.50,351.90,379.50,379.10,360.70,369.10,373.30,350.20,346.60,347.40,366.30,356.90,335.30,348.20,345.50
AZ,207.00,209.40,213.20,221.70,230.10,229.10,242.10,243.20,262.90,277.10,280.60,282.00,296.50,305.30,292.70,277.50,284.70,296.90,288.00,288.90,266.40,271.40,248.40,244.70,251.80,255.70,248.60,243.90,249.50,251.80,247.80,243.70,243.80,238.20,240.30,237.30,242.60,237.60,242.90,245.80,250.00,246.90,240.60,239.50,242.80,241.80,241.80,237.90,228.30,212.90,219.10,220.80,214.10,213.90,211.30,210.70,210.50,207.50,205.80,204.80,199.70,203.70,207.30
CA,211.80,213.00,212.20,216.50,226.60,229.60,240.00,245.30,256.80,264.20,267.40,274.50,277.40,282.30,266.90,271.70,274.30,278.90,276.50,282.30,268.20,254.60,237.70,232.90,245.80,243.50,233.70,244.60,246.60,248.60,237.70,230.10,226.70,214.70,221.50,215.70,216.30,217.40,222.20,219.90,220.80,220.70,217.80,211.40,220.30,216.10,216.10,218.60,211.70,200.90,194.70,190.70,186.20,187.20,183.30,184.30,183.10,182.40,185.50,184.10,163.60,173.90,176.30
CO,235.70,246.10,242.10,236.20,248.10,251.20,260.00,264.90,288.20,293.40,298.70,293.80,308.10,315.00,302.30,295.90,304.20,304.40,300.60,293.70,281.40,267.10,263.90,256.70,265.50,263.70,258.00,259.30,270.10,272.40,282.20,289.60,281.60,290.20,282.90,281.10,287.20,278.70,284.90,282.00,290.70,307.00,302.50,300.40,303.50,306.50,303.40,304.70,296.90,287.60,293.30,278.30,268.20,269.00,267.10,263.50,251.20,248.50,253.60,257.40,233.10,239.00,250.60
CT,195.10,195.70,197.70,195.20,196.50,194.00,204.60,206.50,212.80,215.80,221.50,215.90,226.70,235.10,224.60,216.40,233.90,237.20,242.10,237.60,227.50,216.10,214.50,209.50,217.50,219.40,222.60,229.20,238.00,240.80,234.70,233.80,244.50,239.80,240.30,234.60,242.10,237.90,232.90,245.00,246.50,240.80,234.60,254.90,258.30,248.60,232.10,237.70,217.20,214.20,214.30,206.10,201.90,207.00,208.20,210.20,201.70,202.80,210.00,204.70,184.60,192.30,196.10
DC,151.30,146.30,147.10,146.20,159.80,192.90,207.50,222.70,226.10,247.90,263.30,256.40,245.10,255.10,228.90,220.80,228.10,233.70,231.50,224.80,229.80,224.70,246.20,243.60,251.00,250.10,261.60,263.00,268.20,277.50,298.40,309.90,313.60,326.90,321.90,330.10,321.30,318.50,323.00,324.50,340.60,331.40,334.30,331.50,345.50,345.60,318.40,329.70,306.80,305.00,304.30,281.60,257.60,255.20,256.20,250.20,238.00,222.60,230.10,222.10,197.00,209.00,210.20
DE,342.40,320.30,339.00,351.40,341.70,356.00,365.30,348.40,377.70,395.60,388.20,383.10,395.30,415.90,382.30,362.30,378.50,377.20,371.10,401.80,398.20,320.00,302.40,316.60,350.20,338.70,336.20,349.00,354.20,357.70,375.10,372.50,374.70,376.30,363.80,359.30,366.50,360.70,355.10,365.60,386.40,365.10,378.10,367.80,345.40,352.30,332.50,334.40,326.50,286.70,292.30,309.50,305.60,299.20,296.00,297.30,291.10,286.20,302.50,298.30,265.70,279.40,269.60
